date,hour,systemMarginalPrice
2020-01-13T06:00:00+03:00,2020-01-13T06:00:00+03:00,320.65
2020-01-13T07:00:00+03:00,2020-01-13T07:00:00+03:00,338.92
2020-01-13T08:00:00+03:00,2020-01-13T08:00:00+03:00,350.58
2020-01-13T09:00:00+03:00,2020-01-13T09:00:00+03:00,375.68
2020-01-13T10:00:00+03:00,2020-01-13T10:00:00+03:00,345.0
2020-01-13T11:00:00+03:00,2020-01-13T11:00:00+03:00,332.28
2020-01-13T12:00:00+03:00,2020-01-13T12:00:00+03:00,280.0
2020-01-13T13:00:00+03:00,2020-01-13T13:00:00+03:00,260.01
2020-01-13T14:00:00+03:00,2020-01-13T14:00:00+03:00,260.01
2020-01-13T15:00:00+03:00,2020-01-13T15:00:00+03:00,260.01
2020-01-13T16:00:00+03:00,2020-01-13T16:00:00+03:00,260.01
2020-01-13T17:00:00+03:00,2020-01-13T17:00:00+03:00,260.01
2020-01-13T18:00:00+03:00,2020-01-13T18:00:00+03:00,283.71
2020-01-13T19:00:00+03:00,2020-01-13T19:00:00+03:00,337.06
2020-01-13T20:00:00+03:00,2020-01-13T20:00:00+03:00,333.39
2020-01-13T21:00:00+03:00,2020-01-13T21:00:00+03:00,339.06
2020-01-13T22:00:00+03:00,2020-01-13T22:00:00+03:00,335.0
2020-01-13T23:00:00+03:00,2020-01-13T23:00:00+03:00,336.3
2020-01-14T00:00:00+03:00,2020-01-14T00:00:00+03:00,353.66
2020-01-14T01:00:00+03:00,2020-01-14T01:00:00+03:00,357.0
2020-01-14T02:00:00+03:00,2020-01-14T02:00:00+03:00,358.9
2020-01-14T03:00:00+03:00,2020-01-14T03:00:00+03:00,320.0
2020-01-14T04:00:00+03:00,2020-01-14T04:00:00+03:00,279.99
2020-01-14T05:00:00+03:00,2020-01-14T05:00:00+03:00,290.0
2020-01-14T06:00:00+03:00,2020-01-14T06:00:00+03:00,352.0
2020-01-14T07:00:00+03:00,2020-01-14T07:00:00+03:00,358.05
2020-01-14T08:00:00+03:00,2020-01-14T08:00:00+03:00,367.14
2020-01-14T09:00:00+03:00,2020-01-14T09:00:00+03:00,389.0
2020-01-14T10:00:00+03:00,2020-01-14T10:00:00+03:00,379.59
2020-01-14T11:00:00+03:00,2020-01-14T11:00:00+03:00,373.0
2020-01-14T12:00:00+03:00,2020-01-14T12:00:00+03:00,349.25
2020-01-14T13:00:00+03:00,2020-01-14T13:00:00+03:00,295.2
2020-01-14T14:00:00+03:00,2020-01-14T14:00:00+03:00,328.95
2020-01-14T15:00:00+03:00,2020-01-14T15:00:00+03:00,335.92
2020-01-14T16:00:00+03:00,2020-01-14T16:00:00+03:00,342.41
2020-01-14T17:00:00+03:00,2020-01-14T17:00:00+03:00,350.0
2020-01-14T18:00:00+03:00,2020-01-14T18:00:00+03:00,375.01
2020-01-14T19:00:00+03:00,2020-01-14T19:00:00+03:00,373.15
2020-01-14T20:00:00+03:00,2020-01-14T20:00:00+03:00,373.0
2020-01-14T21:00:00+03:00,2020-01-14T21:00:00+03:00,358.0
2020-01-14T22:00:00+03:00,2020-01-14T22:00:00+03:00,346.14
2020-01-14T23:00:00+03:00,2020-01-14T23:00:00+03:00,345.05
2020-01-15T00:00:00+03:00,2020-01-15T00:00:00+03:00,333.77
2020-01-15T01:00:00+03:00,2020-01-15T01:00:00+03:00,338.8
2020-01-15T02:00:00+03:00,2020-01-15T02:00:00+03:00,320.99
2020-01-15T03:00:00+03:00,2020-01-15T03:00:00+03:00,280.0
2020-01-15T04:00:00+03:00,2020-01-15T04:00:00+03:00,280.0
2020-01-15T05:00:00+03:00,2020-01-15T05:00:00+03:00,298.99
2020-01-15T06:00:00+03:00,2020-01-15T06:00:00+03:00,331.05
2020-01-15T07:00:00+03:00,2020-01-15T07:00:00+03:00,335.0
2020-01-15T08:00:00+03:00,2020-01-15T08:00:00+03:00,338.06
2020-01-15T09:00:00+03:00,2020-01-15T09:00:00+03:00,340.0
2020-01-15T10:00:00+03:00,2020-01-15T10:00:00+03:00,280.0
2020-01-15T11:00:00+03:00,2020-01-15T11:00:00+03:00,300.15
2020-01-15T12:00:00+03:00,2020-01-15T12:00:00+03:00,271.6
2020-01-15T13:00:00+03:00,2020-01-15T13:00:00+03:00,271.4
2020-01-15T14:00:00+03:00,2020-01-15T14:00:00+03:00,282.6
2020-01-15T15:00:00+03:00,2020-01-15T15:00:00+03:00,290.0
2020-01-15T16:00:00+03:00,2020-01-15T16:00:00+03:00,262.13
2020-01-15T17:00:00+03:00,2020-01-15T17:00:00+03:00,262.13
2020-01-15T18:00:00+03:00,2020-01-15T18:00:00+03:00,280.0
2020-01-15T19:00:00+03:00,2020-01-15T19:00:00+03:00,274.9
2020-01-15T20:00:00+03:00,2020-01-15T20:00:00+03:00,270.8
2020-01-15T21:00:00+03:00,2020-01-15T21:00:00+03:00,267.3
2020-01-15T22:00:00+03:00,2020-01-15T22:00:00+03:00,257.13
2020-01-15T23:00:00+03:00,2020-01-15T23:00:00+03:00,256.77
2020-01-16T00:00:00+03:00,2020-01-16T00:00:00+03:00,256.77
2020-01-16T01:00:00+03:00,2020-01-16T01:00:00+03:00,307.35
2020-01-16T02:00:00+03:00,2020-01-16T02:00:00+03:00,320.61
2020-01-16T03:00:00+03:00,2020-01-16T03:00:00+03:00,245.0
2020-01-16T04:00:00+03:00,2020-01-16T04:00:00+03:00,270.0
2020-01-16T05:00:00+03:00,2020-01-16T05:00:00+03:00,268.48
