delivery_hour,mcpPrice,matchingQuantity,reconstructed_clearing_price,reconstructed_clearing_volume,reconstruction_price_error,reconstruction_volume_error,slope_near_clearing,elasticity_near_clearing,curve_fragility_score,volume_needed_for_100TL_move,volume_needed_for_500TL_move,oversupply_pressure,cap_risk_score,zero_pressure_from_curve,spike_pressure_from_curve,supply_points,demand_points,status,supply_status,ptf_status,raw_dir
2026-05-19T23:00:00+03:00,500.01,22998.100000000002,500.0093544422757,22998.110727969346,-0.0006455577242832078,0.010727969343861332,134.79999999999927,46.5,181.29999999999927,148.6475890985348,408.7892720306663,0.0,0.0,0.0,0.0,441,177,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-19
2026-05-20T00:00:00+03:00,328.01,17542.599999999984,327.9499590163934,17542.834682377048,-0.06004098360659782,0.2346823770640185,0.06000000000130967,58.5,58.56000000000131,291.2908790424226,813.5969815097196,0.0,0.0,0.0,0.0,430,221,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-20
2026-05-20T01:00:00+03:00,250.0,17895.499999999978,250.00194096503648,17895.52970264678,0.0019409650364821118,0.02970264680334367,1121.0000000011141,3470.0000000032287,4591.000000004343,662.6526228079856,1272.5602973532405,0.0,0.0,0.0,0.0,431,220,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-20
2026-05-20T02:00:00+03:00,210.28,17892.399999999987,210.27417822511356,17892.2504780976,-0.005821774886442199,-0.14952190238545882,140.29000000000087,0.0,140.29000000000087,663.8334784808721,1459.7146054891746,0.0,0.0,0.0,0.0,459,222,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-20
2026-05-20T03:00:00+03:00,210.73,17712.299999999992,210.72379157972256,17712.146248432928,-0.0062084202774315145,-0.1537515670643188,14.73309608540911,0.0,14.73309608540911,606.9564179377412,1391.5279484663552,0.0,0.0,0.0,0.0,459,221,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-20
2026-05-20T04:00:00+03:00,299.99,17576.90000000001,299.9945631372549,17576.900435035895,0.004563137254876892,0.0004350358867668547,63.82500000000073,0.0,63.82500000000073,678.2053490198014,1181.7378117649387,0.0,0.0,0.0,0.0,741,223,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-20
2026-05-20T05:00:00+03:00,250.01,17510.999999999996,250.00921987907387,17510.94174900458,-0.0007801209261231179,-0.058250995414709905,12.400000000001455,72.10000000000036,84.50000000000182,716.7726485769199,1331.4482509954432,0.0,0.0,0.0,0.0,458,220,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-20
2026-05-20T06:00:00+03:00,199.01,17212.199999999997,197.9986954319007,17176.653556474994,-1.0113045680992911,-35.54644352500327,14.266666666666502,82.7017543859645,96.96842105263102,689.7977159503498,1899.9976015272478,0.0,0.0,0.0,0.0,462,219,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-20
2026-05-20T07:00:00+03:00,200.0,17123.99999999999,199.99881012972503,17124.103665761926,-0.001189870274970417,0.10366576193700894,16690.500000015247,1385.0000000011141,18075.50000001636,708.3430761591662,1958.4629141580917,0.0,0.0,0.0,0.0,465,218,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-20
2026-05-20T08:00:00+03:00,249.99,17365.100000000002,241.15075982821273,17361.470279000503,-8.839240171787281,-3.6297209994991135,0.28800000000046566,11.819999999999709,12.108000000000175,720.7259890509267,1454.4349770455956,0.0,0.0,0.0,0.0,539,202,ok,200,200,data/raw/dam_supply_demand_curve_weekly/2026-05-18_2026-05-24/2026-05-20
